engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability_exact,decision_response_probability_exact,uncontained_risk_probability_exact,contained_or_avoided_probability_exact,measurement_shots,physical_risk_probability_sampled,decision_response_probability_sampled,uncontained_risk_probability_sampled,contained_or_avoided_probability_sampled,trace
Qiskit DensityMatrix,Sensor-only,0,0.0,0.0,0.02,0.014999999999999987,0.010109156412564758,0.010018907681419447,0.0050442851939771,0.004999999999999999,0.002000000000000001,0.0010000000000000005,0.0050442851939771,0.0010000000000000005,0.005039240908783123,0.0009949557148060235,8192,0.0042724609375,0.0009765625,0.0042724609375,0.0009765625,1.0000000000000004
Qiskit DensityMatrix,Sensor-only,1,0.0,0.0,0.02,0.015000000000000003,0.01023356054975935,0.010039654519013586,0.0050972457014548875,0.005000000000000001,0.002000000000000002,0.0010000000000000009,0.0050972457014548875,0.0010000000000000009,0.005092148455753434,0.0009949027542985455,8192,0.0052490234375,0.000732421875,0.0052490234375,0.000732421875,1.0000000000000004
Qiskit DensityMatrix,Sensor-only,2,0.0,0.0,0.020000000000000018,0.015000000000000012,0.010373044995350673,0.01006228872293016,0.005159008197654794,0.005000000000000001,0.002000000000000002,0.001,0.005159008197654794,0.001,0.0051538491894571395,0.0009948409918023454,8192,0.0052490234375,0.00048828125,0.0052490234375,0.00048828125,1.0000000000000007
Qiskit DensityMatrix,Sensor-only,3,0.0,0.0,0.020000000000000014,0.014999999999999996,0.010527421321654136,0.010086860585511831,0.00522970516477429,0.005000000000000003,0.0020000000000000018,0.001,0.00522970516477429,0.001,0.005224475459609516,0.0009947702948352264,8192,0.005859375,0.0,0.005859375,0.0,1.0000000000000004
Qiskit DensityMatrix,Sensor-only,4,0.0,0.0,0.02000000000000003,0.01499999999999999,0.010696480425871995,0.01011342230380935,0.005309474261280584,0.005,0.002,0.001,0.005309474261280584,0.001,0.005304164787019303,0.000994690525738719,8192,0.005859375,0.0003662109375,0.005859375,0.0003662109375,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,5,0.0,0.0,0.020000000000000028,0.014999999999999989,0.010879992901635912,0.010142027793534382,0.005398457636909907,0.005000000000000003,0.002000000000000002,0.0010000000000000007,0.005398457636909907,0.0010000000000000007,0.005393059179272999,0.0009946015423630899,8192,0.006103515625,0.000732421875,0.006103515625,0.000732421875,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,6,0.0,0.0,0.020000000000000014,0.015,0.011077709444913026,0.010172732495013213,0.005496801195248663,0.005000000000000003,0.002000000000000001,0.001,0.005496801195248663,0.001,0.005491304394053415,0.0009945031988047512,8192,0.0069580078125,0.0009765625,0.0069580078125,0.0009765625,1.0000000000000004
Qiskit DensityMatrix,Sensor-only,7,0.0,0.0,0.020000000000000035,0.014999999999999996,0.01128936129335969,0.010205593171728485,0.005604653806045464,0.005,0.0020000000000000026,0.001000000000000001,0.005604653806045464,0.001000000000000001,0.005599049152239416,0.0009943953461939554,8192,0.0052490234375,0.0009765625,0.0052490234375,0.0009765625,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,8,0.0,0.0,0.02000000000000005,0.015000000000000006,0.011514660698135587,0.010240667702060264,0.005722166469675396,0.004999999999999996,0.0020000000000000005,0.0009999999999999992,0.005722166469675396,0.0009999999999999992,0.005716444303205725,0.0009942778335303244,8192,0.0047607421875,0.0010986328125,0.0047607421875,0.0010986328125,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,9,0.08333333333333333,0.0,0.020349292213022518,0.015000000000000005,0.011754709098368201,0.010278018276201324,0.005849497628131284,0.0049999999999999975,0.0020000000000000013,0.0009999999999999998,0.005849497628131284,0.0009999999999999998,0.005843648130503154,0.0009941505023718683,8192,0.0054931640625,0.0013427734375,0.0054931640625,0.0013427734375,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,10,0.16666666666666666,0.0,0.02105583609191522,0.014999999999999994,0.012010816810962064,0.010317712129586537,0.005986814680761792,0.0049999999999999975,0.0020000000000000018,0.0009999999999999998,0.005986814680761792,0.0009999999999999998,0.005980827866081027,0.0009940131853192378,8192,0.006103515625,0.0009765625,0.006103515625,0.0009765625,0.9999999999999998
Qiskit DensityMatrix,Sensor-only,11,0.25,0.0,0.02213638623350293,0.015000000000000003,0.012284525863762812,0.010359822378620235,0.006134295795316019,0.004999999999999999,0.0020000000000000035,0.0009999999999999998,0.006134295795316019,0.0009999999999999998,0.006128161499520703,0.000993865704204684,8192,0.005615234375,0.0008544921875,0.005615234375,0.0008544921875,1.0
Qiskit DensityMatrix,Sensor-only,12,0.3333333333333333,0.0,0.023616420489607087,0.015000000000000019,0.012577636235972517,0.010404428971895138,0.006292132059735721,0.0050000000000000044,0.001999999999999999,0.0010000000000000002,0.006292132059735721,0.0010000000000000002,0.006285839927675986,0.0009937078679402643,8192,0.0054931640625,0.000732421875,0.0054931640625,0.000732421875,1.0
Qiskit DensityMatrix,Sensor-only,13,0.4166666666666667,0.0,0.025530027106793543,0.015000000000000017,0.01289223511553144,0.01045161976903827,0.00646053002031764,0.005000000000000001,0.0020000000000000005,0.0010000000000000002,0.00646053002031764,0.0010000000000000002,0.00645406949029732,0.0009935394699796822,8192,0.00634765625,0.0010986328125,0.00634765625,0.0010986328125,1.0
Qiskit DensityMatrix,Sensor-only,14,0.5,0.0,0.027919745326724612,0.015000000000000013,0.013230728723907874,0.010501491757849988,0.006639714651040388,0.005,0.0020000000000000026,0.0009999999999999994,0.006639714651040388,0.0009999999999999994,0.006633074936389348,0.0009933602853489593,8192,0.005859375,0.0010986328125,0.005859375,0.0010986328125,1.0
Qiskit DensityMatrix,Sensor-only,15,0.5833333333333334,0.0,0.03083635205329011,0.015000000000000022,0.013595876193318559,0.01055415241849646,0.006829932796888807,0.004999999999999991,0.0020000000000000013,0.001000000000000001,0.006829932796888807,0.001000000000000001,0.0068231028640919214,0.0009931700672031122,8192,0.008056640625,0.0009765625,0.008056640625,0.0009765625,0.9999999999999997
Qiskit DensityMatrix,Sensor-only,16,0.6666666666666666,0.05,0.03433858543683266,0.015152317880187375,0.013992132402385697,0.010609724742028847,0.007031464210252813,0.005000000000000004,0.0020000000000000018,0.0009999999999999994,0.007031464210252813,0.0009999999999999994,0.007024432746042559,0.0009929685357897469,8192,0.007080078125,0.0008544921875,0.007080078125,0.0008544921875,1.0000000000000002
Qiskit DensityMatrix,Sensor-only,17,0.75,0.1,0.03849279456580625,0.015457860118602982,0.014424546041689695,0.01066834964938828,0.0072446281283051256,0.004999999999999997,0.0020000000000000026,0.001,0.0072446281283051256,0.001,0.007237383500176822,0.000992755371871695,8192,0.0068359375,0.0006103515625,0.0068359375,0.0006103515625,0.9999999999999999
Qiskit DensityMatrix,Sensor-only,18,0.8333333333333334,0.15,0.04337250292365858,0.015919853570192707,0.014898802018537724,0.010730188609722295,0.007469790612348859,0.005000000000000003,0.0020000000000000018,0.0009999999999999992,0.007469790612348859,0.0009999999999999992,0.007462320821736508,0.0009925302093876506,8192,0.0067138671875,0.0008544921875,0.0067138671875,0.0008544921875,1.0
Qiskit DensityMatrix,Sensor-only,19,0.9166666666666666,0.2,0.04905787190167958,0.01654383713157343,0.015421265435748783,0.010795426457107871,0.007707372679637129,0.0050000000000000044,0.0020000000000000005,0.001,0.007707372679637129,0.001,0.007699665306957489,0.0009922926273203635,8192,0.0081787109375,0.0006103515625,0.0081787109375,0.0006103515625,1.0
